epoch,accuracy,dice_coef,loss,lr,mean_io_u,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_loss,val_mean_io_u,val_precision,val_sensitivity,val_specificity
0,0.9467940926551819,0.46704789996147156,0.5481235384941101,1e-04,0.7600551843643188,0.9566754102706909,0.9360607862472534,0.9860640168190002,0.9405238032341003,0.576946496963501,0.4394108057022095,0.7713285088539124,0.9418368339538574,0.9391375184059143,0.9806709289550781
1,0.9665466547012329,0.6312382221221924,0.37835830450057983,1e-04,0.826104998588562,0.9669409990310669,0.9654751420021057,0.9889986515045166,0.9769946932792664,0.6991991996765137,0.3081762194633484,0.9002408981323242,0.9767939448356628,0.9764425158500671,0.9922686219215393
2,0.9760604500770569,0.688406229019165,0.31956562399864197,1e-04,0.8544604778289795,0.9759624600410461,0.9754258990287781,0.9919918775558472,0.9702813625335693,0.6854722499847412,0.32381048798561096,0.5482631921768188,0.9700770378112793,0.9696885347366333,0.9900326728820801
3,0.9780859351158142,0.7069984674453735,0.30307257175445557,1e-04,0.8670998811721802,0.9778847098350525,0.9775551557540894,0.9926321506500244,0.9742951393127441,0.7067387104034424,0.3025292456150055,0.915777862071991,0.9741640090942383,0.9738012552261353,0.9913925528526306
4,0.9806365966796875,0.7279306054115295,0.28443533182144165,1e-04,0.8870234489440918,0.9804133176803589,0.9801483750343323,0.9934731721878052,0.9844827055931091,0.7556725740432739,0.2624603509902954,0.9005148410797119,0.9842131733894348,0.9840860962867737,0.9947392344474792
5,0.9818146824836731,0.7397117614746094,0.27561521530151367,1e-04,0.903611958026886,0.9815903902053833,0.981369137763977,0.9938649535179138,0.985156774520874,0.7596585750579834,0.24587717652320862,0.9277734756469727,0.984907865524292,0.9846800565719604,0.994971513748169
6,0.9841977953910828,0.7601115703582764,0.2550080120563507,1e-04,0.9213201999664307,0.9839301705360413,0.9837648868560791,0.9946457743644714,0.981891393661499,0.7436707615852356,0.2714994251728058,0.9387304782867432,0.9817118644714355,0.9815384149551392,0.9939073324203491
7,0.9845747947692871,0.7593216300010681,0.25693824887275696,1e-04,0.9136553406715393,0.9843117594718933,0.9841583967208862,0.9947721362113953,0.9862068891525269,0.7767763137817383,0.24050520360469818,0.9348642230033875,0.9859195947647095,0.9858667254447937,0.9953089356422424
8,0.9848600625991821,0.7746742367744446,0.24531839787960052,1e-04,0.918688178062439,0.9845856428146362,0.9844816327095032,0.9948648810386658,0.9803420901298523,0.7389101386070251,0.2720780074596405,0.9212992787361145,0.9801759123802185,0.9799953699111938,0.9933965802192688
9,0.9812514781951904,0.7481263279914856,0.27043449878692627,1e-04,0.9165573120117188,0.9810876250267029,0.9807410836219788,0.9937041997909546,0.986153244972229,0.7798410654067993,0.24136586487293243,0.9378423690795898,0.9858837127685547,0.985770046710968,0.9952976107597351
10,0.9874730110168457,0.7920414805412292,0.22938436269760132,2e-05,0.9356431365013123,0.9871445894241333,0.9870551824569702,0.9957168102264404,0.9869327545166016,0.7968084812164307,0.2287077158689499,0.9212022423744202,0.9866258502006531,0.9865624308586121,0.9955428242683411
11,0.9883079528808594,0.8034265041351318,0.21872590482234955,2e-05,0.9345420598983765,0.9879757761955261,0.9879071116447449,0.9959942102432251,0.9881582260131836,0.8080164194107056,0.22178223729133606,0.9464631080627441,0.9878426194190979,0.9878035187721252,0.995949923992157
12,0.9888602495193481,0.8100823163986206,0.21675895154476166,2e-05,0.9460740089416504,0.9885212182998657,0.9884704947471619,0.9961755275726318,0.9866285920143127,0.8125181198120117,0.233099102973938,0.9188717603683472,0.9863317608833313,0.9862980842590332,0.9954453706741333
13,0.9890512228012085,0.815148651599884,0.21482883393764496,2e-05,0.9406818151473999,0.9887213706970215,0.9886857867240906,0.9962432384490967,0.9877552390098572,0.8059077262878418,0.22402991354465485,0.9430708289146423,0.9874666333198547,0.9874546527862549,0.9958239197731018
14,0.9894280433654785,0.8166234493255615,0.21286006271839142,4e-06,0.9398795366287231,0.9890929460525513,0.9890680909156799,0.9963662028312683,0.9885548949241638,0.8161929845809937,0.21729952096939087,0.9479661583900452,0.9882469773292542,0.9882344603538513,0.9960849285125732
15,0.9894956350326538,0.8141165971755981,0.2111390084028244,4e-06,0.9497612118721008,0.9891705513000488,0.9891465306282043,0.9963915348052979,0.9887144565582275,0.8158453106880188,0.2176586091518402,0.9629541635513306,0.9884167313575745,0.9884048104286194,0.9961410760879517
16,0.9894031882286072,0.8190200924873352,0.21685807406902313,4e-06,0.9582004547119141,0.9890806078910828,0.9890591502189636,0.9963613748550415,0.9888783097267151,0.8213586807250977,0.21615371108055115,0.9653778076171875,0.9885842204093933,0.9885797500610352,0.9961965084075928
17,0.9895789623260498,0.8206852674484253,0.20729142427444458,4e-06,0.9618852138519287,0.9892561435699463,0.989242434501648,0.99642014503479,0.9888330698013306,0.8227389454841614,0.2134982794523239,0.9668677449226379,0.9885438680648804,0.9885438680648804,0.9961845278739929
18,0.9896414875984192,0.8275080323219299,0.1981191486120224,4e-06,0.9697606563568115,0.9893374443054199,0.9893277287483215,0.9964479207992554,0.9887685179710388,0.8289062976837158,0.20633497834205627,0.9763342142105103,0.9885013699531555,0.9885133504867554,0.9961692690849304
19,0.9896032214164734,0.8309922814369202,0.19552312791347504,4e-06,0.9753888249397278,0.9893185496330261,0.9893267750740051,0.996441125869751,0.9884324669837952,0.8316049575805664,0.19791778922080994,0.978259801864624,0.9881830215454102,0.9882031679153442,0.9960624575614929
